x,y,z,yaw
-5.8500,8.2500,2.0000,0.5411
-5.8500,9.5700,2.0000,-0.6392
-3.9000,9.5700,2.0000,-2.4955
-3.9000,8.1000,2.0000,2.4888
-5.8500,8.2500,2.0000,0.5411
-5.1000,6.3000,2.0000,0.4582
-1.5000,6.4500,2.0000,2.7426
-1.5000,8.2500,2.0000,-2.6075
-1.5000,6.4500,2.0000,2.7426
-1.5000,5.5500,2.0000,-2.2791
-1.5000,3.6000,2.0000,2.2799
-3.3000,3.6000,2.0000,0.7906
-3.1500,2.7000,2.0000,-1.2999
-3.9000,-0.9000,2.0000,0.9675
-4.8000,-0.4500,2.0000,-2.0648
-6.6000,-0.6000,2.0000,-1.1044
-6.1500,1.2000,2.0000,2.4859
-7.9500,1.0500,2.0000,0.8288
-8.1000,2.7000,2.0000,-0.6557
-7.6500,3.6000,2.0000,2.2265
-9.1500,3.6000,2.0000,0.9151
-9.1500,5.5500,2.0000,-0.9151
-7.6500,5.5500,2.0000,-2.2265
-7.6500,3.6000,2.0000,2.2265
-8.1000,2.7000,2.0000,-0.6557
-6.3000,2.8500,2.0000,-2.3127
-6.1500,1.2000,2.0000,2.4859
-6.6000,-0.6000,2.0000,-1.1044
-4.9500,-4.0500,2.0000,1.9980
-6.7500,-7.9500,2.0000,-2.4469
-8.5500,-7.9500,2.0000,-0.6947
-6.7500,-7.9500,2.0000,-2.4469
-6.7500,-9.4500,2.0000,2.4469
-6.7500,-7.9500,2.0000,-2.4469
-4.9500,-4.0500,2.0000,1.9980
-4.8000,-0.4500,2.0000,-2.0648
-3.9000,-0.9000,2.0000,0.9675
-2.1000,-0.7500,2.0000,1.8923
-2.7000,-1.2000,2.0000,-0.6954
-2.7000,-2.8500,2.0000,0.7791
-0.9000,-2.8500,2.0000,2.3562
-0.1500,-3.1500,2.0000,-0.7419
-0.1500,-4.8000,2.0000,0.7419
-0.6000,-4.0500,2.0000,-2.3562
-2.4000,-4.0500,2.0000,-0.7854
-2.4000,-5.8500,2.0000,0.7854
-0.6000,-5.8500,2.0000,2.3562
-0.6000,-4.0500,2.0000,-2.3562
-0.1500,-4.8000,2.0000,0.7419
1.6500,-4.8000,2.0000,2.3996
2.2500,-5.4000,2.0000,-2.3499
4.3500,-5.2500,2.0000,0.7512
4.3500,-3.4500,2.0000,-0.7454
6.3000,-3.4500,2.0000,-2.4020
5.8500,-2.8500,2.0000,0.7854
5.8500,-1.0500,2.0000,-0.7854
6.1500,0.7500,2.0000,2.6263
2.8500,0.9000,2.0000,0.5297
2.7000,2.8500,2.0000,-0.5801
6.1500,2.5500,2.0000,-2.7360
6.6000,2.1000,2.0000,0.7854
6.6000,3.9000,2.0000,-0.7854
7.0500,5.5500,2.0000,2.4737
9.1200,7.9500,2.0000,2.3562
7.0500,5.5500,2.0000,2.4737
5.2500,5.4000,2.0000,0.8272
5.1000,7.0500,2.0000,-0.6436
5.2500,5.4000,2.0000,0.8272
7.0500,5.5500,2.0000,2.4737
6.6000,3.9000,2.0000,-0.7854
8.4000,3.9000,2.0000,-2.3562
8.4000,2.1000,2.0000,2.3562
6.6000,2.1000,2.0000,0.7854
6.1500,2.5500,2.0000,-2.7360
6.1500,0.7500,2.0000,2.6263
5.8500,-1.0500,2.0000,-0.7854
7.6500,-1.0500,2.0000,-2.3562
7.6500,-2.8500,2.0000,2.3562
5.8500,-2.8500,2.0000,0.7854
6.3000,-3.4500,2.0000,-2.4020
6.7500,-4.2000,2.0000,-0.7854
6.7500,-6.0000,2.0000,0.7854
6.4500,-7.3500,2.0000,-0.7854
6.4500,-9.1500,2.0000,0.7854
8.2500,-9.1500,2.0000,2.3562
8.2500,-7.3500,2.0000,-2.3562
6.4500,-7.3500,2.0000,-0.7854
6.7500,-6.0000,2.0000,0.7854
6.7500,-4.2000,2.0000,-0.7854
8.5500,-4.2000,2.0000,-2.3562
6.7500,-4.2000,2.0000,-0.7854
6.3000,-3.4500,2.0000,-2.4020
4.3500,-3.4500,2.0000,-0.7454
4.3500,-5.2500,2.0000,0.7512
2.2500,-5.4000,2.0000,-2.3499
2.2500,-7.2000,2.0000,2.3562
0.4500,-7.2000,2.0000,0.7791
2.2500,-7.2000,2.0000,2.3562
2.2500,-5.4000,2.0000,-2.3499
1.6500,-4.8000,2.0000,2.3996
1.6500,-3.1500,2.0000,-2.3996
-0.1500,-3.1500,2.0000,-0.7419
-0.9000,-2.8500,2.0000,2.3562
-0.9000,-1.0500,2.0000,-2.3499
-2.7000,-1.2000,2.0000,-0.6954
-2.1000,-0.7500,2.0000,1.8923
-1.3500,2.7000,2.0000,-2.2000
-3.1500,2.7000,2.0000,-1.2999
-3.3000,3.6000,2.0000,0.7906
-1.5000,3.6000,2.0000,2.2799
-1.5000,5.5500,2.0000,-2.2791
-1.5000,6.4500,2.0000,2.7426
-5.1000,6.3000,2.0000,0.4582
-5.8500,8.2500,2.0000,0.5411
